brand,model_name,model_id,model_year,bodytype
Peugeot,308,69_18,2016,Hatchback
Audi,A3,7_3,2011,Hatchback
Volkswagen,Caravelle,95_11,2012,MPV
Volvo,C30,96_1,2013,Coupe
Audi,A6 Avant,7_11,2011,Estate
Citroen,Dispatch,18_18,2013,Combi Van
Mercedes-Benz,SL Class,59_30,2009,Convertible
Mercedes-Benz,CLC Class,59_17,2010,Coupe
Volvo,XC70,96_17,2011,Estate
Mercedes-Benz,Vaneo,59_37,2003,MPV
Audi,RS5,7_30,2017,Coupe
Maserati,Quattroporte,55_10,2014,Saloon
Porsche,Macan,71_10,2015,SUV
Vauxhall,Astra GTC,94_6,2011,Coupe
SKODA,Fabia,80_2,2007,Hatchback
Ford,Fiesta,29_13,2006,Hatchback
Bugatti,Veyron,13_1,2007,Coupe
Citroen,C3,18_8,2015,Hatchback
Jaguar,XF,39_7,2010,Saloon
Ford,Focus,29_14,2011,Hatchback
Honda,Accord,34_1,2000,Saloon
Peugeot,3008,69_13,2013,SUV
Saab,9-5,81_3,2009,Saloon
Ford,Galaxy,29_19,2012,MPV
Nissan,X-Trail,64_41,2015,SUV
Renault,Grand Modus,75_6,2010,Hatchback
Volkswagen,Touran,95_29,2008,MPV
Porsche,Cayenne,71_8,2016,SUV
Alfa Romeo,MiTo,4_14,2013,Hatchback
Infiniti,QX50,37_10,2015,SUV
Tesla,Model S,90_1,2015,Saloon
Land Rover,Range Rover Evoque,47_14,2012,SUV
Audi,S4,7_36,2011,Saloon
BMW,X3,8_37,2010,SUV
Toyota,AYGO,92_6,2014,Hatchback
Porsche,Cayenne,71_8,2008,SUV
Subaru,Outback,86_7,2003,Estate
Mercedes-Benz,CL,59_15,2013,Coupe
Kia,Venga,43_16,2015,MPV
Land Rover,Discovery,47_6,2017,SUV
Kia,Carens,43_1,2014,MPV
Audi,RS6,7_31,2009,Saloon
SEAT,Altea,79_2,2014,MPV
Peugeot,Expert Tepee,69_32,2011,MPV
Alfa Romeo,MiTo,4_14,2017,Hatchback
Mercedes-Benz,M Class,59_27,2011,SUV
BMW,6 Series,8_11,2012,Convertible
Volvo,S40,96_3,2003,Saloon
Jaguar,X-Type,39_5,2007,Saloon
Ford,Transit Custom,29_38,2013,Combi Van
Vauxhall,Vivaro,94_24,2012,MPV
Peugeot,308 SW,69_20,2015,Estate
MINI,Paceman,54_7,2016,Hatchback
Mercedes-Benz,SL Class,59_30,2003,Convertible
Toyota,Verso,92_40,2009,MPV
Audi,S5,7_39,2009,Coupe
Volvo,V70,96_12,2012,Estate
Audi,TT,7_46,2008,Coupe
Chevrolet,Orlando,16_13,2014,MPV
Ford,Focus,29_14,2012,Hatchback
Mercedes-Benz,R Class,59_28,2013,MPV
Lexus,GS 300,48_2,2017,Saloon
Toyota,Land Cruiser Colorado,92_23,2000,SUV
Audi,Q5,7_20,2013,SUV
Suzuki,Celerio,87_3,2017,Hatchback
Kia,Carens,43_1,2010,MPV
Vauxhall,ADAM,94_1,2016,Hatchback
Jaguar,XJ,39_8,2015,Saloon
Citroen,C-Crosser,18_4,2008,SUV
Toyota,Urbancruiser,92_39,2009,Hatchback
Toyota,Auris,92_3,2015,Hatchback
Mazda,Mazda3,57_11,2010,Hatchback
BMW,X6M,8_42,2011,SUV
Audi,A6 Allroad,7_11,2006,Estate
Ford,Ranger,29_30,2017,Pickup
Peugeot,Bipper Tepee,69_30,2011,MPV
Volvo,XC60,96_16,2016,SUV
Renault,Zoe,75_22,2016,Hatchback
Ford,Ka,29_23,2009,Hatchback
Toyota,GT86,92_17,2013,Coupe
Kia,Soul,43_12,2013,Hatchback
Ford,Kuga,29_25,2009,SUV
Volkswagen,Transporter Sportline,95_32,2013,Combi Van
Audi,R8,7_23,2008,Coupe
Citroen,C1,18_6,2008,Hatchback
Vauxhall,Vivaro,94_24,2010,MPV
Lexus,LS 460,48_15,2009,Saloon
Fiat,Scudo,28_22,2009,nan
Audi,A8,7_16,2016,Saloon
Kia,Pro_Cee'd,43_8,2010,Hatchback
Audi,S8,7_43,2015,Saloon
Peugeot,308 CC,69_19,2009,Convertible
Audi,RS5,7_30,2015,Coupe
Renault,Clio,75_2,2008,Hatchback
Lexus,RX 200t,48_24,2016,SUV
Nissan,eNV200 Evalia,64_9,2017,MPV
Fiat,500,28_2,2017,Hatchback
Ferrari,599,27_10,2009,Coupe
Citroen,C3 Pluriel,18_11,2003,Convertible
Volvo,XC90,96_18,2008,SUV
Mercedes-Benz,SLR McLaren,59_33,2010,Coupe
Land Rover,Defender 110,47_2,2003,SUV
Jeep,Grand Cherokee,40_4,2008,SUV
Mercedes-Benz,SLK,59_32,2014,Convertible
SKODA,Superb,80_9,2009,Hatchback
Porsche,Cayman,71_9,2006,Coupe
Alfa Romeo,Brera,4_9,2007,Coupe
Jaguar,XF,39_7,2013,Saloon
Vauxhall,VXR8,94_26,2007,Saloon
Audi,RS6 Avant,7_32,2009,Estate
Infiniti,QX70,37_11,2014,SUV
Hyundai,i40,36_12,2015,Estate
Audi,Q3,7_19,2017,SUV
Peugeot,308 SW,69_20,2011,Estate
Honda,CR-Z,34_4,2012,Coupe
SEAT,Arona,79_4,2017,SUV
Infiniti,Q50,37_6,2016,Saloon
Audi,A3,7_3,2008,Hatchback
MINI,Clubman,54_1,2008,Estate
Chevrolet,Spark,16_14,2010,Hatchback
Nissan,GT-R,64_13,2011,Coupe
Chrysler,Grand Voyager,17_4,2008,MPV
Smart,forfour,84_1,2017,Hatchback
Citroen,C2,18_7,2007,Hatchback
Nissan,Murano,64_19,2010,SUV
Renault,Scenic,75_14,2014,MPV
Vauxhall,Astra,94_5,2009,Hatchback
Land Rover,Freelander 2,47_12,2007,SUV
Subaru,Impreza,86_3,2016,Hatchback
Land Rover,Range Rover Sport,47_15,2017,SUV
Porsche,Cayenne,71_8,2006,SUV
Toyota,Estima,92_14,2007,MPV
Mercedes-Benz,GLA Class,59_23,2014,SUV
Ford,Galaxy,29_19,2014,MPV
Ferrari,488,27_7,2017,Coupe
Mercedes-Benz,A Class,59_8,2017,Hatchback
Jaguar,XJ,39_8,2010,Saloon
Audi,RS6 Avant,7_32,2008,Estate
Porsche,Boxster,71_6,2013,Convertible
Audi,A4 Avant,7_7,2013,Estate
BMW,2 Series Active Tourer,8_3,2016,MPV
Volkswagen,Jetta,95_18,2006,Saloon
Volkswagen,Touareg,95_28,2008,SUV
BMW,X5,8_39,2007,SUV
Jeep,Grand Cherokee,40_4,2000,SUV
Ssangyong,Rexton,85_5,2014,SUV
Hyundai,i10,36_8,2014,Hatchback
Nissan,X-Trail,64_41,2003,SUV
Vauxhall,Antara,94_4,2007,Estate
Ford,Explorer,29_9,2003,SUV
Mercedes-Benz,E Class,59_20,2010,Saloon
Land Rover,Freelander 2,47_12,2013,SUV
Volvo,S80,96_5,2007,Saloon
Honda,Jazz,34_11,2009,Hatchback
Volkswagen,Golf,95_15,2000,Hatchback
Proton,Satria Neo,72_5,2007,Hatchback
Land Rover,Discovery 4,47_9,2016,SUV
Audi,S1,7_34,2016,Hatchback
Vauxhall,Vivaro,94_24,2006,MPV
Audi,S3,7_35,2016,Hatchback
Chevrolet,Orlando,16_13,2013,MPV
Volvo,C30,96_1,2012,Coupe
SEAT,Leon,79_10,2011,Hatchback
Lexus,RX 450h,48_24,2009,SUV
Maserati,Ghibli,55_5,2016,Saloon
Toyota,Prius,92_30,2006,Hatchback
Jaguar,XJ,39_8,2003,Saloon
Audi,A3 Cabriolet,7_4,2013,Convertible
Mercedes-Benz,V Class,59_36,2015,MPV
Audi,A8,7_16,2008,Saloon
SKODA,Rapid,80_6,2017,Hatchback
Volvo,S60,96_4,2014,Saloon
Chevrolet,Matiz,16_12,2007,Hatchback
Renault,Scenic,75_14,2003,MPV
Nissan,Note,64_21,2016,Hatchback
Audi,TT,7_46,2015,Coupe
Ssangyong,Korando,85_1,2017,SUV
Audi,A8,7_16,2017,Saloon
Mercedes-Benz,B Class,59_11,2014,Hatchback
SEAT,Leon,79_10,2012,Hatchback
Peugeot,207 CC,69_10,2007,Convertible
Rover,25,78_1,2003,Hatchback
Kia,Venga,43_16,2011,MPV
Volkswagen,Sharan,95_24,2013,MPV
Audi,RS4,7_26,2009,Saloon
Hyundai,ix35,36_16,2011,SUV
Suzuki,Grand Vitara,87_4,2013,SUV
Abarth,595C,2_5,2016,Convertible
Chevrolet,Captiva,16_5,2008,SUV
Subaru,Forester,86_2,2000,SUV
Mercedes-Benz,SLK,59_32,2015,Convertible
BMW,1 Series,8_1,2007,Hatchback
Audi,TTS,7_48,2014,Coupe
Audi,TT,7_46,2013,Coupe
Mitsubishi,ASX,62_1,2017,SUV
Smart,fortwo,84_2,2017,Hatchback
Toyota,Corolla Verso,92_12,2006,MPV
DS,3,21_1,2015,Hatchback
Vauxhall,Astra,94_5,2015,Hatchback
Vauxhall,Astra,94_5,2006,Hatchback
Nissan,Micra,64_17,2006,Hatchback
BMW,7 Series,8_14,2018,Saloon
MINI,Hatch,54_6,2006,Hatchback
Audi,TTS,7_48,2017,Coupe
Peugeot,207 CC,69_10,2008,Convertible
Kia,Pro_Cee'd,43_8,2017,Hatchback
Audi,A4 Avant,7_7,2015,Estate
Mercedes-Benz,A Class,59_8,2013,Hatchback
Citroen,Grand C4 Picasso,18_24,2016,MPV
Jaguar,XF,39_7,2014,Saloon
Jaguar,XF,39_7,2009,Saloon
Ford,Fusion,29_18,2010,Hatchback
Nissan,Navara,64_20,2011,Pickup
Ferrari,Gtc4lusso,27_20,2017,Hatchback
BMW,M4,8_31,2015,Coupe
Mercedes-Benz,M Class,59_27,2012,SUV
BMW,X5,8_39,2013,SUV
BMW,7 Series,8_14,2006,Saloon
Peugeot,207,69_9,2012,Hatchback
Hyundai,i800,36_13,2017,MPV
Lexus,GS 300,48_2,2015,Saloon
Nissan,Note,64_21,2006,Hatchback
Vauxhall,Insignia,94_13,2012,Hatchback
Audi,A6 Unspecified,7_11,2010,Estate
Volvo,V60,96_10,2013,Estate
Jaguar,XKR,39_11,2006,Coupe
Volvo,S80,96_5,2000,Saloon
Hyundai,i40,36_12,2017,Estate
Nissan,Elgrand,64_8,2016,MPV
Audi,A5 Cabriolet,7_10,2012,Convertible
SKODA,Roomster,80_8,2015,MPV
Suzuki,SX4,87_11,2013,Hatchback
Audi,S5,7_39,2016,Coupe
Porsche,911,71_4,2013,Coupe
Mercedes-Benz,B Class,59_11,2013,Hatchback
Audi,S3,7_35,2000,Hatchback
Porsche,Cayenne,71_8,2009,SUV
Citroen,C4,18_12,2014,Hatchback
Ford,C-Max,29_2,2008,MPV
Nissan,Pathfinder,64_24,2007,MPV
Peugeot,RCZ,69_36,2013,Coupe
Audi,SQ7,7_45,2016,SUV
Volkswagen,Scirocco,95_23,2008,Coupe
Volkswagen,Golf Plus,95_16,2007,Hatchback
Citroen,C4,18_12,2011,Hatchback
Alfa Romeo,GT,4_12,2007,Coupe
Volkswagen,Golf SV,95_17,2017,Hatchback
Bentley,Continental,10_5,2010,Convertible
Proton,GEN-2,72_1,2007,Hatchback
Volkswagen,Phaeton,95_21,2009,Saloon
Jeep,Grand Cherokee,40_4,2003,SUV
Vauxhall,Corsa,94_9,2012,Hatchback
Hyundai,Terracan,36_22,2003,SUV
Citroen,Grand C4 Picasso,18_24,2009,MPV
Smart,fortwo,84_2,2003,Hatchback
Fiat,Doblo,28_12,2007,Estate
Tesla,Model X,90_2,2017,Hatchback
Ford,Galaxy,29_19,2013,MPV
Peugeot,508,69_26,2017,Saloon
Renault,Laguna,75_11,2011,Hatchback
Mitsubishi,Mirage,62_15,2014,Hatchback
Peugeot,207 CC,69_10,2010,Convertible
Porsche,Boxster,71_6,2016,Convertible
Fiat,Doblo,28_12,2008,Estate
Daihatsu,Sirion,24_7,2003,Hatchback
BMW,3 Series Gran Turismo,8_6,2014,Hatchback
Audi,A8,7_16,2009,Saloon
Audi,A6 Unspecified,7_11,2016,Estate
Toyota,GT86,92_17,2012,Coupe
Honda,Jazz,34_11,2003,Hatchback
Volkswagen,Polo,95_22,2010,Hatchback
SEAT,Alhambra,79_1,2017,MPV
Volkswagen,Touareg,95_28,2011,SUV
Land Rover,Range Rover,47_13,2017,SUV
Nissan,370 Z,64_2,2010,Convertible
Audi,RS3,7_25,2016,Saloon
BMW,6 Series,8_11,2010,Convertible
Volvo,XC60,96_16,2015,SUV
Subaru,Forester,86_2,2008,SUV
Dodge,Caliber,26_2,2007,Hatchback
BMW,i3,8_27,2015,Hatchback
BMW,X4,8_38,2017,SUV
Citroen,Berlingo Multispace,18_3,2007,MPV
Peugeot,Partner Tepee,69_35,2016,MPV
Chrysler,Grand Voyager,17_4,2003,MPV
Mazda,Mazda3,57_11,2016,Hatchback
Abarth,595,2_4,2016,Hatchback
Audi,A5 Cabriolet,7_10,2015,Convertible
Mazda,Mazda3,57_11,2017,Hatchback
Honda,CR-Z,34_4,2013,Coupe
Volvo,C70,96_2,2011,Convertible
BMW,4 Series Gran Coupe,8_8,2017,Coupe
Toyota,Land Cruiser,92_21,2010,SUV
Smart,forfour,84_1,2006,Hatchback
Volkswagen,Amarok,95_1,2015,Hatchback
BMW,Alpina D3 Bi-Turbo,8_21,2008,Saloon
Mazda,CX-7,57_8,2010,SUV
Audi,A6 Saloon,7_11,2003,Estate
SEAT,Leon,79_10,2008,Hatchback
Peugeot,307 SW,69_17,2006,Estate
Hyundai,Santa Fe,36_20,2006,SUV
Vauxhall,Insignia,94_13,2017,Hatchback
Peugeot,108,69_4,2016,Hatchback
Land Rover,Defender 90,47_4,2013,SUV
Audi,A4 Allroad,7_6,2012,Estate
Porsche,Boxster,71_6,2007,Convertible
Toyota,Avensis,92_4,2000,Estate
Mazda,Mazda3,57_11,2011,Hatchback
Volvo,V40 Cross Country,96_8,2015,Hatchback
Vauxhall,Zafira,94_27,2012,MPV
Volvo,XC90,96_18,2016,SUV
Volkswagen,Sharan,95_24,2006,MPV
Alfa Romeo,Stelvio,4_16,2017,SUV
Ford,Focus,29_14,2007,Hatchback
Volkswagen,Caddy Maxi,95_7,2015,Panel Van
SKODA,Superb,80_9,2012,Hatchback
Maserati,GranCabrio,55_6,2016,Convertible
Audi,A1,7_1,2015,Hatchback
Ford,Galaxy,29_19,2011,MPV
Mazda,Mazda2,57_10,2015,Hatchback
Audi,RS3,7_25,2011,Saloon
Subaru,Outback,86_7,2013,Estate
Volvo,S40,96_3,2010,Saloon
Chevrolet,Volt,16_19,2013,Hatchback
Toyota,Avensis,92_4,2016,Estate
Audi,A3,7_3,2016,Hatchback
Ford,S-Max,29_31,2007,MPV
Porsche,Panamera,71_11,2017,Hatchback
Ford,B-Max,29_1,2016,MPV
Ford,Transit Custom,29_38,2016,Combi Van
Fiat,Panda,28_18,2008,Hatchback
Subaru,Outback,86_7,2009,Estate
Audi,A6 Avant,7_11,2008,Estate
Jeep,Patriot,40_5,2011,SUV
Citroen,C3 Picasso,18_10,2011,MPV
Audi,A8,7_16,2015,Saloon
Mercedes-Benz,A Class,59_8,2016,Hatchback
Ford,Galaxy,29_19,2000,MPV
Chevrolet,Lacetti,16_11,2008,Estate
Audi,A7,7_15,2017,Hatchback
Kia,Carens,43_1,2013,MPV
Audi,RS4 Avant,7_27,2015,Estate
SEAT,Leon,79_10,2009,Hatchback
Suzuki,Alto,87_1,2003,Hatchback
Vauxhall,Movano,94_18,2014,nan
Mercedes-Benz,E Class,59_20,2012,Saloon
Audi,RS4 Avant,7_27,2006,Estate
Vauxhall,Zafira,94_27,2011,MPV
Jaguar,XKR,39_11,2013,Coupe
Peugeot,308 SW,69_20,2017,Estate
Mitsubishi,Outlander,62_16,2017,SUV
Audi,A8,7_16,2013,Saloon
Nissan,X-Trail,64_41,2011,SUV
SKODA,Fabia,80_2,2012,Hatchback
Vauxhall,Signum,94_20,2006,Hatchback
Honda,CR-V,34_3,2016,SUV
Peugeot,2008,69_5,2013,SUV
Jeep,Cherokee,40_1,2003,SUV
Mercedes-Benz,S Class,59_29,2015,Saloon
Renault,Megane,75_12,2016,Hatchback
Ford,Tourneo Custom,29_35,2016,Minibus
Kia,Sportage,43_13,2011,SUV
Toyota,Avensis,92_4,2014,Estate
Toyota,iQ,92_20,2012,Hatchback
Volkswagen,Fox,95_14,2010,Hatchback
SEAT,Alhambra,79_1,2000,MPV
Peugeot,407,69_23,2006,Saloon
Mercedes-Benz,Amg Gt,59_10,2015,Coupe
Mazda,Mazda6,57_13,2009,Saloon
Audi,TTS,7_48,2009,Coupe
Land Rover,Defender 110,47_2,2011,SUV
Fiat,Grande Punto,28_15,2008,Hatchback
Daihatsu,Sirion,24_7,2008,Hatchback
SKODA,Octavia,80_5,2009,Hatchback
Audi,S4 Avant,7_37,2013,Estate
SEAT,Ateca,79_6,2016,SUV
Jaguar,XJ,39_8,2006,Saloon
Ford,C-Max,29_2,2007,MPV
Mercedes-Benz,E Class,59_20,2009,Saloon
Land Rover,Range Rover Sport,47_15,2009,SUV
Peugeot,308 SW,69_20,2010,Estate
Maserati,Quattroporte,55_10,2016,Saloon
Renault,Scenic,75_14,2013,MPV
Rolls-Royce,Phantom,77_4,2007,Limousine
Jaguar,XJ,39_8,2007,Saloon
Mercedes-Benz,CL,59_15,2012,Coupe
Hyundai,ix35,36_16,2012,SUV
Land Rover,Defender 90,47_4,2014,SUV
Audi,RS5,7_30,2010,Coupe
Subaru,Levorg,86_6,2015,Estate
Ssangyong,Tivoli,85_7,2015,Hatchback
BMW,M3,8_30,2009,Coupe
Bentley,Continental,10_5,2009,Convertible
Kia,Optima,43_6,2012,Saloon
Peugeot,308 SW,69_20,2013,Estate
Audi,Q7,7_21,2016,SUV
Peugeot,208,69_12,2013,Hatchback
Infiniti,EX,37_1,2012,SUV
Hyundai,i10,36_8,2009,Hatchback
Alfa Romeo,Giulietta,4_11,2017,Hatchback
Vauxhall,Vivaro,94_24,2007,MPV
Audi,A4,7_5,2010,Saloon
Ford,Focus C-Max,29_15,2007,MPV
Honda,Jazz,34_11,2006,Hatchback
Renault,Wind,75_21,2010,Convertible
Audi,RS Q3,7_24,2014,SUV
Volkswagen,Golf,95_15,2003,Hatchback
Ssangyong,Korando,85_1,2015,SUV
Mazda,Mazda6,57_13,2010,Saloon
BMW,Z4,8_45,2003,Convertible
BMW,5 Series,8_9,2010,Saloon
Ford,Focus,29_14,2008,Hatchback
Mazda,Mazda6,57_13,2015,Saloon
Renault,Scenic,75_14,2000,MPV
Citroen,Berlingo,18_2,2014,MPV
Fiat,Panda,28_18,2007,Hatchback
Ford,C-Max,29_2,2010,MPV
Infiniti,Q70,37_8,2015,Saloon
Ford,C-Max,29_2,2012,MPV
McLaren,P1,58_8,2016,Coupe
Dacia,Logan MCV,22_2,2015,Estate
Volkswagen,Jetta,95_18,2016,Saloon
Subaru,Forester,86_2,2016,SUV
Isuzu,D-Max,38_2,2017,Pickup
Ford,Fiesta,29_13,2003,Hatchback
Mercedes-Benz,CLC Class,59_17,2008,Coupe
Toyota,Prius+,92_31,2017,Estate
Ford,Transit Connect,29_36,2003,nan
Lexus,RX 450h,48_24,2017,SUV
Mitsubishi,Outlander,62_16,2014,SUV
Audi,S4 Avant,7_37,2010,Estate
Audi,S1,7_34,2015,Hatchback
SKODA,Citigo,80_1,2017,Hatchback
Mazda,CX-5,57_7,2016,SUV
Renault,Koleos,75_10,2008,SUV
Mercedes-Benz,CLS,59_19,2014,Coupe
Peugeot,206 SW,69_8,2003,Estate
Volkswagen,Passat,95_20,2016,Estate
McLaren,675LT,58_6,2015,Convertible
Subaru,Forester,86_2,2006,SUV
Fiat,Sedici,28_23,2009,Hatchback
Toyota,iQ,92_20,2011,Hatchback
Lexus,IS 200,48_8,2000,Saloon
Toyota,RAV4,92_34,2011,SUV
Ford,Ranger,29_30,2014,Pickup
BMW,5 Series,8_9,2016,Saloon
Volvo,V40 Cross Country,96_8,2013,Hatchback
Fiat,500X,28_5,2016,SUV
Jaguar,XF,39_7,2011,Saloon
BMW,3 Series Gran Turismo,8_6,2015,Hatchback
BMW,Z4,8_45,2013,Convertible
Audi,RS4 Avant,7_27,2007,Estate
Mitsubishi,Shogun Pinin,62_19,2000,SUV
Jeep,Grand Cherokee,40_4,2016,SUV
Audi,SQ5,7_44,2016,SUV
Audi,Q2,7_18,2017,SUV
Volvo,S80,96_5,2010,Saloon
Jeep,Compass,40_3,2012,SUV
Volvo,V60,96_10,2016,Estate
Ford,EcoSport,29_4,2014,SUV
BMW,2 Series Gran Tourer,8_4,2017,MPV
Kia,Picanto,43_7,2009,Hatchback
Kia,Rio,43_9,2015,Hatchback
MINI,Convertible,54_3,2010,Convertible
Audi,S3,7_35,2007,Hatchback
Dacia,Sandero Stepway,22_4,2014,Hatchback
Ford,Escort,29_7,2000,Hatchback
Subaru,Outback,86_7,2010,Estate
Vauxhall,Vectra,94_22,2000,Hatchback
Fiat,Spider,28_25,2017,Convertible
BMW,7 Series,8_14,2017,Saloon
SKODA,Octavia,80_5,2008,Hatchback
Mercedes-Benz,M Class,59_27,2009,SUV
Fiat,Punto,28_19,2003,Hatchback
Honda,Accord,34_1,2012,Saloon
Peugeot,308 SW,69_20,2014,Estate
MG,MG3,53_2,2015,Hatchback
MINI,Clubvan,54_2,2014,Panel Van
Citroen,C-Zero,18_5,2012,Hatchback
BMW,X6M,8_42,2009,SUV
Vauxhall,Antara,94_4,2011,Estate
Mercedes-Benz,Sprinter,59_35,2015,nan
BMW,5 Series,8_9,2014,Saloon
Audi,A7,7_15,2016,Hatchback
Volkswagen,Beetle,95_3,2013,Convertible
Audi,S4 Avant,7_37,2017,Estate
Honda,Insight,34_9,2010,Hatchback
Mercedes-Benz,GLA Class,59_23,2017,SUV
Volkswagen,Phaeton,95_21,2006,Saloon
Volkswagen,Caddy Maxi Life,95_8,2010,MPV
Ferrari,Laferrari,27_21,2014,Coupe
SEAT,Altea,79_2,2009,MPV
Mercedes-Benz,CLA Class,59_16,2016,Coupe
Jaguar,XKR,39_11,2010,Coupe
Mitsubishi,L200,62_13,2008,Pickup
Mercedes-Benz,Sprinter,59_35,2014,nan
Volvo,XC60,96_16,2011,SUV
Audi,A6 Avant,7_11,2010,Estate
Audi,Q7,7_21,2017,SUV
Mercedes-Benz,S Class,59_29,2006,Saloon
Ssangyong,Turismo,85_9,2017,MPV
Kia,Cee'd,43_2,2011,Estate
Renault,Trafic,75_17,2014,Combi Van
Vauxhall,Astra,94_5,2011,Hatchback
McLaren,P1,58_8,2013,Coupe
Land Rover,Range Rover,47_13,2011,SUV
Volvo,V60,96_10,2017,Estate
Toyota,Verso,92_40,2012,MPV
Volvo,V40,96_7,2017,Hatchback
Jeep,Renegade,40_6,2017,SUV
Suzuki,SX4,87_11,2007,Hatchback
Hyundai,i30,36_10,2015,Hatchback
Ford,Kuga,29_25,2012,SUV
MINI,Clubman,54_1,2007,Estate
Volkswagen,Tiguan,95_26,2013,SUV
Ford,Tourneo Connect,29_34,2007,MPV
Vauxhall,Zafira Tourer,94_28,2017,MPV
Lexus,GS 450h,48_2,2008,Saloon
